frame;ID;left_xmin;left_ymin;left_xmax;left_ymax;f;C_x;C_y;x_il;v_il;x_ir;v_ir;disparitas;X_val;Y_val;Z_val;distance_cm;;X_actual;Y_actual;Z_actual
5;0;924;258;996;308;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;960;283;794;284;166;-0.0022808237154998984;0.21481720360123854;0.7536640586733552;75.77;;;;
5;1;679;311;745;369;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;712;340;506;338;206;-0.14635094443977906;0.2018698829717418;0.5907141823844498;60.92;;;;
5;2;1501;242;1551;293;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1526;267;1374;268;152;0.44449651671708595;0.22366017301072805;0.8293983284700567;94.63;;;;
5;3;1252;282;1324;347;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1288;314;1107;311;181;0.21543747490477977;0.21481943621212451;0.6809261263876415;71.85;;;;
5;4;845;237;904;287;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;874;262;718;262;156;-0.06860238945027783;0.21459334665914098;0.810055406962154;81.67;;;;
5;5;1316;268;1381;322;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1348;295;1177;295;171;0.2701551132473836;0.21583121592360702;0.7274152023334691;78.02;;;;
5;6;1019;184;1068;233;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1043;208;926;208;117;0.0819198479514573;0.23814438047637254;1.107.775.189.055.450;111.83;;;;
5;7;1233;211;1284;251;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1258;231;1132;230;126;0.2808969226507651;0.2401103168431512;10.176.924.472.199.100;106.41;;;;
5;8;1085;199;1134;248;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1109;223;983;223;126;0.1389460139572358;0.23350988231864744;10.215.032.098.694.100;103.79;;;;
5;9;1379;204;1423;252;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1401;228;1275;227;126;0.41713168737005835;0.23763515389646234;10.191.214.832.134.700;110.86;;;;
5;10;1265;186;1315;232;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1290;209;1171;208;119;0.3296996723082609;0.23501554083610515;1.088.652.753.006.370;114.42;;;;
5;11;487;357;599;441;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;543;399;305;393;238;-0.21191130050066526;0.20049852804232723;0.49641164024856055;53.99;;;;
5;12;866;191;919;234;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;892;212;764;214;128;-0.0667286744686102;0.22092749914671345;10.107.001.490.044.500;101.72;;;;
5;13;1225;243;1285;289;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1255;266;1104;263;151;0.23200592836834127;0.22445291029052802;0.8352885128422392;87.29;;;;
5;14;1457;299;1521;354;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1489;326;1300;325;189;0.3339789771059028;0.21232698454775525;0.6482930938381448;73.27;;;;
5;15;1439;225;1490;266;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1464;245;1326;245;138;0.4356597904821861;0.22977750532529073;0.9231085158369359;102.7;;;;
5;16;1137;259;1193;304;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1165;281;1001;281;164;0.14774014068483743;0.21616915920904714;0.7635870290441215;78.21;;;;
5;17;896;316;978;376;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;937;346;731;345;206;-0.01524036056470393;0.20489775220749715;0.5889660412661155;59.08;;;;
5;18;507;282;573;352;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;540;317;341;316;199;-0.25525128939464925;0.19695572103355447;0.6184300017134406;66.81;;;;
5;19;570;267;633;322;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;601;294;420;294;181;-0.24018025501955134;0.20333249215014293;0.6875581166339928;72.92;;;;
5;20;710;205;763;250;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;736;227;603;227;133;-0.20501772925999626;0.22434641012927314;0.965934784937051;99.27;;;;
6;0;677;310;745;367;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;711;338;506;338;205;-0.14765040769782167;0.20184040099832654;0.594181271193442;61.29;;;;
6;1;924;258;996;308;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;960;283;794;284;166;-0.0022808237154998984;0.21481720360123854;0.7536640586733552;75.77;;;;
6;2;845;238;903;287;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;874;262;717;263;157;-0.06816543155569008;0.21322651005621654;0.8048958183827772;81.12;;;;
