frame;ID;X_pc;Y_pc;Z_pc;Z_slant_pc;cm_pc;X_ts;Y_ts;Z_ts;Z_slant_ts;cm_ts;X_actual;Y_actual;Z_actual;jarak actual;
5;8;0.13488565;0.24310239;0.99874145;10.412.425;102.19;0.1389460139572358;0.23350988231864744;10.215.032.098.694.100;1.057.024.913.475.820;103.79;;;;;
5;9;0.7586936;0.41129202;1.883.277;1.998.121;198.81;0.41713168737005835;0.23763515389646234;10.191.214.832.134.700;11.265.335.807.346.400;110.86;;;;;
5;10;0.3339386;0.2513013;10.938.916;13.462.852;133.13;0.3296996723082609;0.23501554083610515;1.088.652.753.006.370;11.615.072.083.215.900;114.42;;;;;
5;11;-0.21152502;0.20102084;0.49014908;0.5795087;54.39;-0.21191130050066526;0.20049852804232723;0.49641164024856055;0.5757869185743016;53.99;;;;;
5;12;-0.07244719;0.24529183;10.594.796;10.902.332;107.17;-0.0667286744686102;0.22092749914671345;10.107.001.490.044.500;10.367.142.649.125.500;101.72;;;;;
5;13;0.23441581;0.23536834;0.8448922;0.9609012;93.99;0.23200592836834127;0.22445291029052802;0.8352885128422392;0.8954958176463714;87.29;;;;;
5;14;0.3434391;0.22430931;0.64648134;0.7996774;77.43;0.3339789771059028;0.21232698454775525;0.6482930938381448;0.7595450223877986;73.27;;;;;
5;15;0.71078384;0.3534832;14.637.461;1.467.807;145.41;0.4356597904821861;0.22977750532529073;0.9231085158369359;1.046.291.779.097.570;102.7;;;;;
5;16;0.16237973;0.23201412;0.77638936;0.89817697;87.56;0.14774014068483743;0.21616915920904714;0.7635870290441215;0.8072307015266142;78.21;;;;;
5;17;-0.017951554;0.20999655;0.5804484;0.6407936;60.88;-0.01524036056470393;0.20489775220749715;0.5889660412661155;0.6237758854063747;59.08;;;;;
5;18;-0.26103473;0.20411454;0.6170883;0.7236666;69.55;-0.25525128939464925;0.19695572103355447;0.6184300017134406;0.6974241491407969;66.81;;;;;
5;19;-0.24471658;0.20381694;0.69557405;0.7691392;74.27;-0.24018025501955134;0.20333249215014293;0.6875581166339928;0.7561526439909656;72.92;;;;;
5;20;-0.20027624;0.23002815;0.9545394;0.99597234;97.57;-0.20501772925999626;0.22434641012927314;0.965934784937051;1.012.617.198.056.700;99.27;;;;;
6;0;-0.14860624;0.20991217;0.58862644;0.66451323;63.37;-0.14765040769782167;0.20184040099832654;0.594181271193442;0.6446639228354204;61.29;;;;;
6;1;0.0013886829;0.22999689;0.77867967;0.9095128;88.73;-0.0022808237154998984;0.21481720360123854;0.7536640586733552;0.7836843410811981;75.77;;;;;
6;2;-0.07408586;0.22262256;0.8086694;0.85638505;83.27;-0.06816543155569008;0.21322651005621654;0.8048958183827772;0.8354455991266025;81.12;;;;;
6;3;0.21508378;0.22257757;0.67688507;0.772218;74.59;0.21663434976536186;0.21659041554530817;0.6843756075801869;0.7498078566240156;72.26;;;;;
6;4;0.27810782;0.22431457;0.7313539;0.86588657;84.25;0.2701551132473836;0.21522328116477116;0.7277661936301327;0.8055733849624929;78.04;;;;;
6;5;0.44246972;0.23140588;0.81704736;0.95858926;93.75;0.44449651671708595;0.2243440996144184;0.8290034632613101;0.9670336966748745;94.61;;;;;
6;6;0.09063188;0.24899021;10.807.161;11.120.813;109.39;0.08224289181169037;0.236126207760471;10.983.872.637.244.700;1.126.487.487.883.030;110.86;;;;;
6;7;0.30139577;0.2488867;10.331.577;1.103.455;108.52;0.27963032501933355;0.23821968442706343;10.096.791.208.638.500;10.744.271.328.607.400;105.56;;;;;
6;8;0.13590664;0.24364966;0.99886084;10.447.755;102.55;0.1398987046196085;0.23350988231864744;10.215.032.098.694.100;1.057.150.566.602.610;103.81;;;;;
6;9;0.33134493;0.25070065;10.914.528;13.979.357;138.36;0.3296996723082609;0.23501554083610515;1.088.652.753.006.370;11.615.072.083.215.900;114.42;;;;;
6;10;0.7358272;0.39731586;18.292.277;18.409.034;183.0;0.4204687408690188;0.23953623512763406;10.272.744.550.791.800;11.355.458.493.805.200;111.78;;;;;
6;11;-0.21153884;0.2041845;0.48868138;0.5753206;53.94;-0.21280544100910687;0.2013445133927168;0.49850620413146585;0.5782163992433915;54.25;;;;;
6;12;-0.07489821;0.25131178;10.835.593;1.114.177;109.61;-0.0667286744686102;0.22092749914671345;10.107.001.490.044.500;10.367.142.649.125.500;101.72;;;;;
6;13;0.23420267;0.23323654;0.83973324;0.927309;90.55;0.23195211424467743;0.22594926302579818;0.840857102927854;0.9010524514747745;87.86;;;;;
6;14;-0.017973183;0.21157822;0.5816672;0.6932591;66.38;-0.01524036056470393;0.20489775220749715;0.5889660412661155;0.6237758854063747;59.08;;;;;
6;15;-0.2669688;0.20871277;0.6199794;0.7422158;71.48;-0.2597706408826233;0.1999703494167211;0.6278957670457891;0.7083233871505544;67.95;;;;;
6;16;0.3413294;0.2239926;0.645262;0.80702454;78.18;0.33575546102667886;0.21345638340173265;0.6517414613585605;0.763585155485606;73.69;;;;;
6;17;0.74495053;0.37477368;15.754.503;15.597.783;154.69;0.4356597904821861;0.23053081578732654;0.9226735918388962;10.460.738.344.626.700;102.68;;;;;
6;18;0.16468748;0.23083577;0.7749844;0.9158707;89.38;0.1479100861892907;0.21685757832222577;0.7686398299077631;0.8122264407127724;78.72;;;;;
6;19;-0.24636135;0.21063249;0.6899611;0.77330333;74.7;-0.24018025501955134;0.203906839353242;0.6872265171216753;0.756005846453236;72.91;;;;;
6;20;-0.20304978;0.23070917;0.9557164;10.928.919;107.44;-0.20501772925999626;0.22512804053349061;0.9654835104127693;10.123.602.682.959.900;99.24;;;;;
7;0;-0.14748713;0.20780501;0.58883226;0.65860015;62.75;-0.14765040769782167;0.20234750755325792;0.5938884930874445;0.6445531001616736;61.27;;;;;
7;1;-0.00083800615;0.22236288;0.7539171;0.8519065;82.81;-0.0030405839038532977;0.2174369255963756;0.7628550837791278;0.7932439351239569;76.76;;;;;
7;2;-0.07452844;0.22717164;0.8100112;0.893697;87.1;-0.06860238945027783;0.21459334665914098;0.810055406962154;0.8408010196338244;81.67;;;;;
7;3;0.2825355;0.22638324;0.73306084;0.8827808;85.98;0.2701551132473836;0.21522328116477116;0.7277661936301327;0.8055733849624929;78.04;;;;;
7;4;0.21395835;0.22291481;0.6763559;0.76365423;73.7;0.217173988459811;0.21838118235707488;0.6878636304620342;0.7536652149221338;72.66;;;;;
7;5;0.0909181;0.24977356;10.831.245;11.146.922;109.66;0.08224289181169037;0.236126207760471;10.983.872.637.244.700;1.126.487.487.883.030;110.86;;;;;
7;6;0.29412284;0.2502936;10.310.841;1.114.093;109.6;0.27963032501933355;0.23821968442706343;10.096.791.208.638.500;10.744.271.328.607.400;105.56;;;;;
7;7;0.44574243;0.23084769;0.8172912;0.96026766;93.92;0.44449651671708595;0.2243440996144184;0.8290034632613101;0.9670336966748745;94.61;;;;;
7;8;-0.21300314;0.20286624;0.48967335;0.5767811;54.1;-0.21140693485587972;0.20049852804232723;0.49641164024856055;0.5756014840378405;53.97;;;;;
7;9;0.13476244;0.24560957;10.045.837;10.436.151;102.43;0.14005758206889368;0.23620961612728414;10.291.950.794.545.200;10.652.012.113.302.300;104.63;;;;;
7;10;0.7275935;0.39769137;1.838.541;16.937.025;168.19;0.4204687408690188;0.23870458037754655;10.277.546.111.730.200;11.358.051.679.441.300;111.81;;;;;
7;11;-0.0746825;0.2513706;10.824.342;11.126.647;109.45;-0.06819928626331546;0.22266708575416788;10.186.584.178.942.500;10.449.386.326.822.700;102.56;;;;;
7;12;0.33460677;0.25313434;11.044.315;14.047.016;139.04;0.3296996723082609;0.23588912775846593;10.881.483.873.615.800;11.612.116.376.580.300;114.39;;;;;
7;13;0.23575826;0.2333871;0.84036756;0.93162155;90.99;0.23121096794808327;0.22445291029052802;0.8352885128422392;0.895290187773538;87.27;;;;;
7;14;-0.25370735;0.20403114;0.61386406;0.7029724;67.39;-0.25525128939464925;0.19695572103355447;0.6184300017134406;0.6974241491407969;66.81;;;;;
7;15;0.34067625;0.22486183;0.6481181;0.8112825;78.62;0.3339789771059028;0.21232698454775525;0.6482930938381448;0.7595450223877986;73.27;;;;;
7;16;-0.017370606;0.21144065;0.5801776;0.6660557;63.53;-0.01524036056470393;0.20489775220749715;0.5889660412661155;0.6237758854063747;59.08;;;;;
7;17;0.44755355;0.24562499;0.9431365;1.106.471;108.82;0.4356597904821861;0.22977750532529073;0.9231085158369359;1.046.291.779.097.570;102.7;;;;;
7;18;0.16455276;0.23197562;0.7787877;0.9108434;88.86;0.1479100861892907;0.21685757832222577;0.7686398299077631;0.8122264407127724;78.72;;;;;
7;19;-0.24397916;0.21226397;0.69136584;0.7918408;76.62;-0.24218147323332082;0.2050396551274267;0.6910444422167956;0.76041800825004;73.36;;;;;
